ID,日付,担当者,商品名,仕入(円),eBay相場(ドル),売値(ドル),ステータス,発送サイズ,確定レート,メモ
1,2026-06-10,悠太郎,乃木坂４６　ペンライト　齋藤飛鳥　「メルカリ」,0,12,15,掲載中,小,0,
2,2026-06-10,自分,Canon EOS kiss X7i,30880,437,0,掲載前,中(カメラなど),0,
3,2026-06-10,悠太郎,ディスプレイベース,1100,50,40,掲載中,小,0,
4,2026-06-10,悠太郎,トレカスリーブR-9✖️11,1200,44,40,掲載中,小,0,
5,2026-06-10,悠太郎,トレカスリーブ　R-7✖️９,990,37,0,掲載前,中(カメラなど),0,
6,2026-06-10,自分,プレステーション PRO THE LAST OF US PART LL LIMITED,23080,561,0,掲載前,大(カメラなど),0,
7,2026-06-10,悠太郎,プレステーション　PRO A,26697,374,0,掲載前,大(カメラなど),0,
8,2026-06-10,自分,2DS,0,93,110,発送済,小,110,
9,2026-06-10,自分,DS,0,34,42,掲載中,小,0,
10,2026-06-10,悠太郎,MC works ファイティングチェアー,0,387,0,掲載前,大(カメラなど),0,
11,2026-06-10,自分,will リモコン　✖️２,0,31,32,掲載中,小,0,
12,2026-06-10,自分,乃木坂４６　CD ６枚　セット　「メルカリ」,0,9,9,掲載中,小,0,
13,2026-06-10,自分,TWICE 2枚セット　「メルカリ」,0,6,6,掲載中,小,0,
14,2026-06-10,自分,乃木坂46 CD３枚セット　「メルカリ」,0,6,6,掲載中,小,0,
15,2026-06-10,自分,TREASURE THE FIRST STEP CHAPTR ONE 「メルカリ」,0,9,9,掲載中,小,0,
16,2026-06-10,自分,Nintendo DS ソフト　１７本　セット　「メルカリ」,0,37,37,掲載中,小,0,
17,2026-06-10,悠太郎,ワンピース　ルフィー　フィギュア　KING,1540,33,40,掲載中,中(カメラなど),0,
18,2026-06-10,悠太郎,ワンピース　ルフィー　フィギュア　BATTL,1320,33,39,掲載前,中(カメラなど),0,
19,2026-06-10,悠太郎,ハイキュー　及川徹　フィギュア,3750,62,60,掲載中,大(カメラなど),0,
20,2026-06-10,悠太郎,ハイキュー牛久若利　フィギュア,3250,74,68,掲載中,中(カメラなど),0,
21,2026-06-10,悠太郎,GUCCI 紙袋　「メルカリ」,0,7,7,発送済,小,7,
